host	logname	time	method	url	response	bytes	referer	useragent
205.189.154.54	-	804571331	GET	/shuttle/missions/sts-71/images/KSC-95EC-0869.gif	200	45798		
port2.electrotex.com	-	804571332	GET	/shuttle/countdown/video/livevideo.gif	200	70712		
199.33.32.50	-	804571332	GET	/shuttle/countdown/liftoff.html	200	4538		
scheyer.clark.net	-	804571333	GET	/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg	200	130724		
199.33.32.50	-	804571334	GET	/images/NASA-logosmall.gif	200	786		
dynip42.efn.org	-	804571334	GET	/software	302	0		
remote27.compusmart.ab.ca	-	804571334	GET	/shuttle/missions/sts-71/images/KSC-95EC-0868.gif	200	47122		
ppp-nyc-3-1.ios.com	-	804571335	GET	/shuttle/missions/sts-71/images/KSC-95EC-0918.gif	200	31631		
smyth-pc.moorecap.com	-	804571335	GET	/history/apollo/images/footprint-small.gif	200	18149		
dynip42.efn.org	-	804571335	GET	/software/	200	689		
waters-gw.starway.net.au	-	804571336	GET	/shuttle/missions/51-l/51-l-info.html	200	1387		
